parameter,value,upperlim,lowerlim
massx_nd,0.0002,0.0005,0.0001
massy_nd,0.0002,0.0005,0.0001
IzzJzz_nd,0.0002,0.0005,0.0001
xuu_nd,0.0002,0.0005,0.0001
xvr_nd,0.0002,0.0005,0.0001
yv_nd,0.0002,0.0005,0.0001
nv_nd,0.0002,0.0005,0.0001
yr_nd,0.0002,0.0005,0.0001
nr_nd,0.0002,0.0005,0.0001
coeff_drag_sway,0.0002,0.0005,0.0001
cry_cross_flow,0.0002,0.0005,0.0001
crn_cross_flow,0.0002,0.0005,0.0001
coeff_drag_aft,0.0002,0.0005,0.0001
kt_coeff0,0.0002,0.0005,0.0001
kt_coeff1,0.0002,0.0005,0.0001
kt_coeff2,0.0002,0.0005,0.0001
t_prop,0.0002,0.0005,0.0001
w_prop_zero,0.0002,0.0005,0.0001
tau_prop,0.0002,0.0005,0.0001
coeff_cp_prop,0.0002,0.0005,0.0001
xp_prop_nd,0.0002,0.0005,0.0001
ai_coeff_prop0,0.0002,0.0005,0.0001
ai_coeff_prop1,0.0002,0.0005,0.0001
ai_coeff_prop2,0.0002,0.0005,0.0001
ai_coeff_prop3,0.0002,0.0005,0.0001
ai_coeff_prop4,0.0002,0.0005,0.0001
ai_coeff_prop5,0.0002,0.0005,0.0001
ai_coeff_prop6,0.0002,0.0005,0.0001
ai_coeff_prop7,0.0002,0.0005,0.0001
bi_coeff_prop0,0.0002,0.0005,0.0001
bi_coeff_prop1,0.0002,0.0005,0.0001
bi_coeff_prop2,0.0002,0.0005,0.0001
bi_coeff_prop3,0.0002,0.0005,0.0001
bi_coeff_prop4,0.0002,0.0005,0.0001
bi_coeff_prop5,0.0002,0.0005,0.0001
bi_coeff_prop6,0.0002,0.0005,0.0001
bi_coeff_prop7,0.0002,0.0005,0.0001
ci_coeff_prop0,0.0002,0.0005,0.0001
ci_coeff_prop1,0.0002,0.0005,0.0001
ci_coeff_prop2,0.0002,0.0005,0.0001
ci_coeff_prop3,0.0002,0.0005,0.0001
t_rudder,0.0002,0.0005,0.0001
ah_rudder,0.0002,0.0005,0.0001
xh_rudder_nd,0.0002,0.0005,0.0001
lr_rudder_nd,0.0002,0.0005,0.0001
kx_rudder,0.0002,0.0005,0.0001
kx_rudder_reverse,0.0002,0.0005,0.0001
epsilon_rudder,0.0002,0.0005,0.0001
cpr_rudder,0.0002,0.0005,0.0001
gammaN_rudder,0.0002,0.0005,0.0001
gammaP_rudder,0.0002,0.0005,0.0001
KT_bow_forward,0.0002,0.0005,0.0001
KT_bow_reverse,0.0002,0.0005,0.0001
aY_bow,0.0002,0.0005,0.0001
aN_bow,0.0002,0.0005,0.0001
KT_stern_forward,0.0002,0.0005,0.0001
KT_stern_reverse,0.0002,0.0005,0.0001
aY_stern,0.0002,0.0005,0.0001
aN_stern,0.0002,0.0005,0.0001
XX0,0.0002,0.0005,0.0001
XX1,0.0002,0.0005,0.0001
XX3,0.0002,0.0005,0.0001
XX5,0.0002,0.0005,0.0001
YY1,0.0002,0.0005,0.0001
YY3,0.0002,0.0005,0.0001
YY5,0.0002,0.0005,0.0001
NN1,0.0002,0.0005,0.0001
NN2,0.0002,0.0005,0.0001
NN3,0.0002,0.0005,0.0001